"","date","visits","simplystats"
"1",2011-01-01,0,0
"2",2011-01-02,0,0
"3",2011-01-03,0,0
"4",2011-01-04,0,0
"5",2011-01-05,0,0
"6",2011-01-06,0,0
"7",2011-01-07,0,0
"8",2011-01-08,0,0
"9",2011-01-09,0,0
"10",2011-01-10,0,0
"11",2011-01-11,0,0
"12",2011-01-12,0,0
"13",2011-01-13,0,0
"14",2011-01-14,0,0
"15",2011-01-15,0,0
"16",2011-01-16,0,0
"17",2011-01-17,0,0
"18",2011-01-18,0,0
"19",2011-01-19,0,0
"20",2011-01-20,0,0
"21",2011-01-21,5,0
"22",2011-01-22,3,0
"23",2011-01-23,4,0
"24",2011-01-24,15,0
"25",2011-01-25,7,0
"26",2011-01-26,6,0
"27",2011-01-27,5,0
"28",2011-01-28,9,0
"29",2011-01-29,3,0
"30",2011-01-30,4,0
"31",2011-01-31,10,0
"32",2011-02-01,11,0
"33",2011-02-02,11,0
"34",2011-02-03,9,0
"35",2011-02-04,14,0
"36",2011-02-05,6,0
"37",2011-02-06,3,0
"38",2011-02-07,12,0
"39",2011-02-08,12,0
"40",2011-02-09,11,0
"41",2011-02-10,10,0
"42",2011-02-11,1,0
"43",2011-02-12,5,0
"44",2011-02-13,5,0
"45",2011-02-14,23,0
"46",2011-02-15,7,0
"47",2011-02-16,15,0
"48",2011-02-17,13,0
"49",2011-02-18,8,0
"50",2011-02-19,0,0
"51",2011-02-20,3,0
"52",2011-02-21,8,0
"53",2011-02-22,14,0
"54",2011-02-23,10,0
"55",2011-02-24,6,0
"56",2011-02-25,7,0
"57",2011-02-26,8,0
"58",2011-02-27,4,0
"59",2011-02-28,11,0
"60",2011-03-01,8,0
"61",2011-03-02,20,0
"62",2011-03-03,10,0
"63",2011-03-04,12,0
"64",2011-03-05,4,0
"65",2011-03-06,3,0
"66",2011-03-07,11,0
"67",2011-03-08,8,0
"68",2011-03-09,11,0
"69",2011-03-10,12,0
"70",2011-03-11,11,0
"71",2011-03-12,5,0
"72",2011-03-13,2,0
"73",2011-03-14,9,0
"74",2011-03-15,11,0
"75",2011-03-16,7,0
"76",2011-03-17,7,0
"77",2011-03-18,4,0
"78",2011-03-19,1,0
"79",2011-03-20,2,0
"80",2011-03-21,6,0
"81",2011-03-22,7,0
"82",2011-03-23,6,0
"83",2011-03-24,7,0
"84",2011-03-25,7,0
"85",2011-03-26,5,0
"86",2011-03-27,3,0
"87",2011-03-28,21,0
"88",2011-03-29,25,0
"89",2011-03-30,13,0
"90",2011-03-31,20,0
"91",2011-04-01,15,0
"92",2011-04-02,4,0
"93",2011-04-03,5,0
"94",2011-04-04,21,0
"95",2011-04-05,12,0
"96",2011-04-06,7,0
"97",2011-04-07,12,0
"98",2011-04-08,11,0
"99",2011-04-09,1,0
"100",2011-04-10,6,0
"101",2011-04-11,7,0
"102",2011-04-12,5,0
"103",2011-04-13,4,0
"104",2011-04-14,13,0
"105",2011-04-15,9,0
"106",2011-04-16,3,0
"107",2011-04-17,11,0
"108",2011-04-18,7,0
"109",2011-04-19,9,0
"110",2011-04-20,6,0
"111",2011-04-21,4,0
"112",2011-04-22,5,0
"113",2011-04-23,3,0
"114",2011-04-24,1,0
"115",2011-04-25,7,0
"116",2011-04-26,9,0
"117",2011-04-27,9,0
"118",2011-04-28,12,0
"119",2011-04-29,6,0
"120",2011-04-30,2,0
"121",2011-05-01,0,0
"122",2011-05-02,6,0
"123",2011-05-03,8,0
"124",2011-05-04,6,0
"125",2011-05-05,7,0
"126",2011-05-06,7,0
"127",2011-05-07,0,0
"128",2011-05-08,5,0
"129",2011-05-09,7,0
"130",2011-05-10,6,0
"131",2011-05-11,5,0
"132",2011-05-12,14,0
"133",2011-05-13,5,0
"134",2011-05-14,6,0
"135",2011-05-15,4,0
"136",2011-05-16,10,0
"137",2011-05-17,20,0
"138",2011-05-18,11,0
"139",2011-05-19,9,0
"140",2011-05-20,11,0
"141",2011-05-21,11,0
"142",2011-05-22,8,0
"143",2011-05-23,5,0
"144",2011-05-24,7,0
"145",2011-05-25,3,0
"146",2011-05-26,7,0
"147",2011-05-27,6,0
"148",2011-05-28,1,0
"149",2011-05-29,3,0
"150",2011-05-30,9,0
"151",2011-05-31,13,0
"152",2011-06-01,12,0
"153",2011-06-02,10,0
"154",2011-06-03,8,0
"155",2011-06-04,3,0
"156",2011-06-05,0,0
"157",2011-06-06,9,0
"158",2011-06-07,7,0
"159",2011-06-08,8,0
"160",2011-06-09,8,0
"161",2011-06-10,16,0
"162",2011-06-11,2,0
"163",2011-06-12,5,0
"164",2011-06-13,5,0
"165",2011-06-14,9,0
"166",2011-06-15,7,0
"167",2011-06-16,11,0
"168",2011-06-17,9,0
"169",2011-06-18,3,0
"170",2011-06-19,6,0
"171",2011-06-20,5,0
"172",2011-06-21,7,0
"173",2011-06-22,5,0
"174",2011-06-23,5,0
"175",2011-06-24,5,0
"176",2011-06-25,0,0
"177",2011-06-26,4,0
"178",2011-06-27,4,0
"179",2011-06-28,9,0
"180",2011-06-29,5,0
"181",2011-06-30,3,0
"182",2011-07-01,8,0
"183",2011-07-02,6,0
"184",2011-07-03,0,0
"185",2011-07-04,2,0
"186",2011-07-05,9,0
"187",2011-07-06,7,0
"188",2011-07-07,5,0
"189",2011-07-08,6,0
"190",2011-07-09,1,0
"191",2011-07-10,6,0
"192",2011-07-11,10,0
"193",2011-07-12,6,0
"194",2011-07-13,9,0
"195",2011-07-14,3,0
"196",2011-07-15,7,0
"197",2011-07-16,2,0
"198",2011-07-17,1,0
"199",2011-07-18,9,0
"200",2011-07-19,5,0
"201",2011-07-20,5,0
"202",2011-07-21,5,0
"203",2011-07-22,5,0
"204",2011-07-23,2,0
"205",2011-07-24,2,0
"206",2011-07-25,10,0
"207",2011-07-26,6,0
"208",2011-07-27,6,0
"209",2011-07-28,9,0
"210",2011-07-29,10,0
"211",2011-07-30,2,0
"212",2011-07-31,2,0
"213",2011-08-01,6,0
"214",2011-08-02,7,0
"215",2011-08-03,6,0
"216",2011-08-04,14,0
"217",2011-08-05,11,0
"218",2011-08-06,6,0
"219",2011-08-07,5,0
"220",2011-08-08,6,0
"221",2011-08-09,10,0
"222",2011-08-10,5,0
"223",2011-08-11,11,0
"224",2011-08-12,9,0
"225",2011-08-13,2,0
"226",2011-08-14,2,0
"227",2011-08-15,3,0
"228",2011-08-16,14,0
"229",2011-08-17,14,0
"230",2011-08-18,17,0
"231",2011-08-19,9,0
"232",2011-08-20,6,0
"233",2011-08-21,8,0
"234",2011-08-22,6,0
"235",2011-08-23,5,0
"236",2011-08-24,10,0
"237",2011-08-25,4,0
"238",2011-08-26,6,0
"239",2011-08-27,3,0
"240",2011-08-28,5,0
"241",2011-08-29,6,0
"242",2011-08-30,9,0
"243",2011-08-31,5,0
"244",2011-09-01,6,0
"245",2011-09-02,8,0
"246",2011-09-03,2,0
"247",2011-09-04,2,0
"248",2011-09-05,4,0
"249",2011-09-06,10,0
"250",2011-09-07,12,0
"251",2011-09-08,8,0
"252",2011-09-09,6,0
"253",2011-09-10,5,0
"254",2011-09-11,3,0
"255",2011-09-12,30,0
"256",2011-09-13,27,0
"257",2011-09-14,13,0
"258",2011-09-15,7,0
"259",2011-09-16,11,0
"260",2011-09-17,6,0
"261",2011-09-18,7,0
"262",2011-09-19,6,0
"263",2011-09-20,8,0
"264",2011-09-21,3,0
"265",2011-09-22,7,0
"266",2011-09-23,16,0
"267",2011-09-24,7,0
"268",2011-09-25,6,0
"269",2011-09-26,14,0
"270",2011-09-27,15,0
"271",2011-09-28,10,0
"272",2011-09-29,17,0
"273",2011-09-30,9,0
"274",2011-10-01,7,0
"275",2011-10-02,4,0
"276",2011-10-03,11,0
"277",2011-10-04,15,0
"278",2011-10-05,12,0
"279",2011-10-06,9,0
"280",2011-10-07,10,0
"281",2011-10-08,8,0
"282",2011-10-09,4,0
"283",2011-10-10,11,0
"284",2011-10-11,6,0
"285",2011-10-12,9,0
"286",2011-10-13,2,0
"287",2011-10-14,4,0
"288",2011-10-15,4,0
"289",2011-10-16,1,0
"290",2011-10-17,16,0
"291",2011-10-18,11,0
"292",2011-10-19,13,0
"293",2011-10-20,8,0
"294",2011-10-21,6,0
"295",2011-10-22,2,0
"296",2011-10-23,3,0
"297",2011-10-24,14,0
"298",2011-10-25,4,0
"299",2011-10-26,6,0
"300",2011-10-27,11,0
"301",2011-10-28,8,0
"302",2011-10-29,8,0
"303",2011-10-30,10,0
"304",2011-10-31,16,0
"305",2011-11-01,20,0
"306",2011-11-02,16,0
"307",2011-11-03,14,0
"308",2011-11-04,4,0
"309",2011-11-05,5,0
"310",2011-11-06,4,0
"311",2011-11-07,13,0
"312",2011-11-08,10,0
"313",2011-11-09,22,0
"314",2011-11-10,19,0
"315",2011-11-11,13,0
"316",2011-11-12,5,0
"317",2011-11-13,8,0
"318",2011-11-14,11,0
"319",2011-11-15,20,0
"320",2011-11-16,15,0
"321",2011-11-17,21,0
"322",2011-11-18,15,0
"323",2011-11-19,6,0
"324",2011-11-20,3,0
"325",2011-11-21,15,0
"326",2011-11-22,9,0
"327",2011-11-23,13,0
"328",2011-11-24,3,0
"329",2011-11-25,5,0
"330",2011-11-26,8,0
"331",2011-11-27,6,0
"332",2011-11-28,14,0
"333",2011-11-29,20,0
"334",2011-11-30,18,0
"335",2011-12-01,11,0
"336",2011-12-02,8,0
"337",2011-12-03,5,0
"338",2011-12-04,8,0
"339",2011-12-05,8,0
"340",2011-12-06,14,0
"341",2011-12-07,6,0
"342",2011-12-08,14,0
"343",2011-12-09,7,0
"344",2011-12-10,4,0
"345",2011-12-11,6,0
"346",2011-12-12,10,0
"347",2011-12-13,8,0
"348",2011-12-14,6,0
"349",2011-12-15,11,0
"350",2011-12-16,13,0
"351",2011-12-17,7,0
"352",2011-12-18,10,0
"353",2011-12-19,9,0
"354",2011-12-20,19,0
"355",2011-12-21,15,0
"356",2011-12-22,10,0
"357",2011-12-23,3,0
"358",2011-12-24,2,0
"359",2011-12-25,1,0
"360",2011-12-26,3,0
"361",2011-12-27,4,0
"362",2011-12-28,9,0
"363",2011-12-29,7,0
"364",2011-12-30,4,0
"365",2011-12-31,5,0
"366",2012-01-01,11,0
"367",2012-01-02,4,0
"368",2012-01-03,10,0
"369",2012-01-04,18,0
"370",2012-01-05,33,0
"371",2012-01-06,17,0
"372",2012-01-07,6,0
"373",2012-01-08,6,0
"374",2012-01-09,18,0
"375",2012-01-10,12,0
"376",2012-01-11,10,0
"377",2012-01-12,26,0
"378",2012-01-13,10,0
"379",2012-01-14,7,0
"380",2012-01-15,6,0
"381",2012-01-16,21,0
"382",2012-01-17,11,0
"383",2012-01-18,12,0
"384",2012-01-19,12,0
"385",2012-01-20,13,0
"386",2012-01-21,2,0
"387",2012-01-22,3,0
"388",2012-01-23,10,0
"389",2012-01-24,12,0
"390",2012-01-25,10,0
"391",2012-01-26,17,0
"392",2012-01-27,14,0
"393",2012-01-28,6,0
"394",2012-01-29,10,0
"395",2012-01-30,22,0
"396",2012-01-31,25,0
"397",2012-02-01,11,0
"398",2012-02-02,12,0
"399",2012-02-03,9,0
"400",2012-02-04,7,0
"401",2012-02-05,2,0
"402",2012-02-06,9,0
"403",2012-02-07,13,0
"404",2012-02-08,10,0
"405",2012-02-09,19,0
"406",2012-02-10,14,0
"407",2012-02-11,10,0
"408",2012-02-12,10,0
"409",2012-02-13,17,0
"410",2012-02-14,16,0
"411",2012-02-15,13,0
"412",2012-02-16,18,0
"413",2012-02-17,12,0
"414",2012-02-18,7,0
"415",2012-02-19,11,0
"416",2012-02-20,13,0
"417",2012-02-21,13,0
"418",2012-02-22,10,0
"419",2012-02-23,19,0
"420",2012-02-24,14,0
"421",2012-02-25,4,0
"422",2012-02-26,6,0
"423",2012-02-27,16,0
"424",2012-02-28,14,0
"425",2012-02-29,17,0
"426",2012-03-01,12,0
"427",2012-03-02,12,0
"428",2012-03-03,7,0
"429",2012-03-04,8,0
"430",2012-03-05,16,0
"431",2012-03-06,9,0
"432",2012-03-07,14,0
"433",2012-03-08,12,0
"434",2012-03-09,16,0
"435",2012-03-10,2,0
"436",2012-03-11,7,0
"437",2012-03-12,9,0
"438",2012-03-13,9,0
"439",2012-03-14,12,0
"440",2012-03-15,5,0
"441",2012-03-16,7,0
"442",2012-03-17,1,0
"443",2012-03-18,7,0
"444",2012-03-19,12,0
"445",2012-03-20,22,0
"446",2012-03-21,19,0
"447",2012-03-22,17,0
"448",2012-03-23,16,0
"449",2012-03-24,6,0
"450",2012-03-25,2,0
"451",2012-03-26,20,0
"452",2012-03-27,27,0
"453",2012-03-28,16,0
"454",2012-03-29,19,0
"455",2012-03-30,10,0
"456",2012-03-31,6,0
"457",2012-04-01,4,0
"458",2012-04-02,9,0
"459",2012-04-03,14,0
"460",2012-04-04,22,0
"461",2012-04-05,20,0
"462",2012-04-06,19,0
"463",2012-04-07,7,0
"464",2012-04-08,5,0
"465",2012-04-09,15,0
"466",2012-04-10,17,0
"467",2012-04-11,15,0
"468",2012-04-12,30,0
"469",2012-04-13,6,0
"470",2012-04-14,12,0
"471",2012-04-15,6,0
"472",2012-04-16,10,0
"473",2012-04-17,23,0
"474",2012-04-18,17,0
"475",2012-04-19,19,0
"476",2012-04-20,19,0
"477",2012-04-21,8,0
"478",2012-04-22,10,0
"479",2012-04-23,14,0
"480",2012-04-24,17,0
"481",2012-04-25,8,0
"482",2012-04-26,20,0
"483",2012-04-27,10,0
"484",2012-04-28,8,0
"485",2012-04-29,11,0
"486",2012-04-30,14,0
"487",2012-05-01,24,0
"488",2012-05-02,21,0
"489",2012-05-03,12,0
"490",2012-05-04,16,0
"491",2012-05-05,2,0
"492",2012-05-06,9,0
"493",2012-05-07,15,0
"494",2012-05-08,16,0
"495",2012-05-09,13,0
"496",2012-05-10,15,0
"497",2012-05-11,6,0
"498",2012-05-12,10,0
"499",2012-05-13,8,0
"500",2012-05-14,18,0
"501",2012-05-15,20,0
"502",2012-05-16,12,0
"503",2012-05-17,9,0
"504",2012-05-18,10,0
"505",2012-05-19,6,0
"506",2012-05-20,7,0
"507",2012-05-21,17,0
"508",2012-05-22,18,0
"509",2012-05-23,16,0
"510",2012-05-24,17,0
"511",2012-05-25,8,0
"512",2012-05-26,3,0
"513",2012-05-27,3,0
"514",2012-05-28,12,0
"515",2012-05-29,17,0
"516",2012-05-30,11,0
"517",2012-05-31,11,0
"518",2012-06-01,10,0
"519",2012-06-02,7,0
"520",2012-06-03,9,0
"521",2012-06-04,25,0
"522",2012-06-05,13,0
"523",2012-06-06,20,0
"524",2012-06-07,19,0
"525",2012-06-08,14,0
"526",2012-06-09,3,0
"527",2012-06-10,6,0
"528",2012-06-11,10,0
"529",2012-06-12,7,0
"530",2012-06-13,16,0
"531",2012-06-14,11,0
"532",2012-06-15,8,0
"533",2012-06-16,3,0
"534",2012-06-17,5,0
"535",2012-06-18,20,0
"536",2012-06-19,12,0
"537",2012-06-20,8,0
"538",2012-06-21,15,0
"539",2012-06-22,12,4
"540",2012-06-23,13,1
"541",2012-06-24,11,7
"542",2012-06-25,9,6
"543",2012-06-26,15,6
"544",2012-06-27,17,3
"545",2012-06-28,18,3
"546",2012-06-29,13,5
"547",2012-06-30,5,2
"548",2012-07-01,2,0
"549",2012-07-02,17,3
"550",2012-07-03,12,3
"551",2012-07-04,8,3
"552",2012-07-05,8,2
"553",2012-07-06,14,7
"554",2012-07-07,5,2
"555",2012-07-08,6,2
"556",2012-07-09,9,2
"557",2012-07-10,9,1
"558",2012-07-11,30,10
"559",2012-07-12,16,4
"560",2012-07-13,15,3
"561",2012-07-14,9,2
"562",2012-07-15,2,1
"563",2012-07-16,12,2
"564",2012-07-17,50,8
"565",2012-07-18,57,13
"566",2012-07-19,51,22
"567",2012-07-20,33,14
"568",2012-07-21,10,4
"569",2012-07-22,16,4
"570",2012-07-23,29,10
"571",2012-07-24,33,9
"572",2012-07-25,26,6
"573",2012-07-26,22,8
"574",2012-07-27,15,5
"575",2012-07-28,10,1
"576",2012-07-29,14,2
"577",2012-07-30,69,37
"578",2012-07-31,47,18
"579",2012-08-01,36,9
"580",2012-08-02,17,6
"581",2012-08-03,24,5
"582",2012-08-04,19,4
"583",2012-08-05,12,5
"584",2012-08-06,25,8
"585",2012-08-07,17,3
"586",2012-08-08,26,9
"587",2012-08-09,79,40
"588",2012-08-10,68,38
"589",2012-08-11,33,24
"590",2012-08-12,24,13
"591",2012-08-13,26,9
"592",2012-08-14,52,29
"593",2012-08-15,33,14
"594",2012-08-16,28,10
"595",2012-08-17,24,12
"596",2012-08-18,10,5
"597",2012-08-19,9,4
"598",2012-08-20,22,4
"599",2012-08-21,33,18
"600",2012-08-22,19,6
"601",2012-08-23,14,3
"602",2012-08-24,25,13
"603",2012-08-25,8,6
"604",2012-08-26,19,7
"605",2012-08-27,23,7
"606",2012-08-28,30,9
"607",2012-08-29,20,5
"608",2012-08-30,27,7
"609",2012-08-31,22,4
"610",2012-09-01,9,2
"611",2012-09-02,17,5
"612",2012-09-03,23,5
"613",2012-09-04,23,4
"614",2012-09-05,22,1
"615",2012-09-06,23,8
"616",2012-09-07,20,7
"617",2012-09-08,14,4
"618",2012-09-09,20,1
"619",2012-09-10,26,5
"620",2012-09-11,32,5
"621",2012-09-12,21,4
"622",2012-09-13,27,9
"623",2012-09-14,28,9
"624",2012-09-15,12,2
"625",2012-09-16,14,4
"626",2012-09-17,23,6
"627",2012-09-18,30,2
"628",2012-09-19,41,4
"629",2012-09-20,33,9
"630",2012-09-21,22,8
"631",2012-09-22,20,5
"632",2012-09-23,16,6
"633",2012-09-24,36,19
"634",2012-09-25,28,10
"635",2012-09-26,41,7
"636",2012-09-27,32,7
"637",2012-09-28,36,11
"638",2012-09-29,10,4
"639",2012-09-30,23,4
"640",2012-10-01,31,11
"641",2012-10-02,19,4
"642",2012-10-03,18,3
"643",2012-10-04,23,5
"644",2012-10-05,32,6
"645",2012-10-06,18,3
"646",2012-10-07,18,1
"647",2012-10-08,23,4
"648",2012-10-09,23,6
"649",2012-10-10,20,4
"650",2012-10-11,20,2
"651",2012-10-12,19,4
"652",2012-10-13,8,0
"653",2012-10-14,12,1
"654",2012-10-15,22,5
"655",2012-10-16,17,2
"656",2012-10-17,25,3
"657",2012-10-18,21,5
"658",2012-10-19,32,7
"659",2012-10-20,12,1
"660",2012-10-21,15,5
"661",2012-10-22,18,3
"662",2012-10-23,24,6
"663",2012-10-24,24,4
"664",2012-10-25,24,6
"665",2012-10-26,21,6
"666",2012-10-27,14,3
"667",2012-10-28,21,2
"668",2012-10-29,27,6
"669",2012-10-30,35,14
"670",2012-10-31,27,16
"671",2012-11-01,20,8
"672",2012-11-02,22,6
"673",2012-11-03,9,4
"674",2012-11-04,20,4
"675",2012-11-05,26,7
"676",2012-11-06,31,9
"677",2012-11-07,33,21
"678",2012-11-08,25,13
"679",2012-11-09,21,6
"680",2012-11-10,6,1
"681",2012-11-11,11,4
"682",2012-11-12,32,10
"683",2012-11-13,19,6
"684",2012-11-14,27,9
"685",2012-11-15,31,5
"686",2012-11-16,18,5
"687",2012-11-17,11,6
"688",2012-11-18,15,4
"689",2012-11-19,28,9
"690",2012-11-20,30,9
"691",2012-11-21,22,3
"692",2012-11-22,4,0
"693",2012-11-23,13,2
"694",2012-11-24,19,5
"695",2012-11-25,11,5
"696",2012-11-26,19,9
"697",2012-11-27,40,8
"698",2012-11-28,21,8
"699",2012-11-29,32,8
"700",2012-11-30,17,6
"701",2012-12-01,13,3
"702",2012-12-02,17,0
"703",2012-12-03,16,3
"704",2012-12-04,94,64
"705",2012-12-05,34,18
"706",2012-12-06,62,10
"707",2012-12-07,32,7
"708",2012-12-08,18,8
"709",2012-12-09,8,2
"710",2012-12-10,29,10
"711",2012-12-11,23,4
"712",2012-12-12,32,6
"713",2012-12-13,25,7
"714",2012-12-14,17,1
"715",2012-12-15,15,4
"716",2012-12-16,12,1
"717",2012-12-17,27,3
"718",2012-12-18,27,5
"719",2012-12-19,35,5
"720",2012-12-20,34,4
"721",2012-12-21,29,5
"722",2012-12-22,19,2
"723",2012-12-23,12,1
"724",2012-12-24,17,1
"725",2012-12-25,9,3
"726",2012-12-26,17,3
"727",2012-12-27,17,3
"728",2012-12-28,21,1
"729",2012-12-29,14,3
"730",2012-12-30,11,3
"731",2012-12-31,25,2
